,precision,recall,f1-score,support
1,0.7538273116962645,0.9283559577677225,0.8320378506252112,1326.0
2,0.7678976686610275,0.9978552278820375,0.8679025300221522,3730.0
3,0.5555555555555556,0.011904761904761904,0.023310023310023312,420.0
4,0.9845679012345679,0.5203915171288744,0.6808964781216649,613.0
5,0.9962264150943396,0.9814126394052045,0.9887640449438202,269.0
6,0.9689119170984456,0.18588469184890655,0.3119266055045872,1006.0
7,0.0,0.0,0.0,266.0
8,0.6277372262773723,0.9335142469470827,0.7506819421713039,737.0
9,1.0,1.0,1.0,189.0
accuracy,0.7719728845254792,0.7719728845254792,0.7719728845254792,0.7719728845254792
macro avg,0.7394137772908415,0.6177021158760656,0.6061688305220847,8556.0
weighted avg,0.7708110572969659,0.7719728845254792,0.7117539343616411,8556.0
